entropy,surrgain,EpThisIter,TimestepsSoFar,EpLenMean,EpRewMean,optimgain,EpisodesSoFar,TimeElapsed,explained_variance_tdlam_before,entloss,meankl
0.40130478,0.015317461,0,10149888,3000.0,-0.075,0.015317461,4311,9136.324301958084,-2.5933678150177,0.0,0.008060606
0.41183704,0.013803051,0,10150912,3000.0,-0.075,0.013803051,4311,9137.236278295517,-1.814561128616333,0.0,0.008437647
0.41054899,0.015264687,1,10151936,3000.0,-0.1,0.015264687,4312,9138.197558403015,-0.7125779390335083,0.0,0.0070747193
0.38414955,0.034333475,0,10152960,3000.0,-0.1,0.034333475,4312,9139.105205535889,-5.580536365509033,0.0,0.0047147768
0.4372153,0.091619484,0,10153984,3000.0,-0.1,0.091619484,4312,9140.035447597504,-0.8429117202758789,0.0,0.008844374
0.404433,0.005710192,1,10155008,3000.0,-0.1,0.005710192,4313,9140.896527051926,-2.9599685668945312,0.0,0.0067838714
0.38931015,0.014612837,0,10156032,3000.0,-0.1,0.014612837,4313,9141.74941444397,-4.163580417633057,0.0,0.0058256034
0.40363008,0.012269053,0,10157056,3000.0,-0.1,0.012269053,4313,9142.59207367897,-7.269049644470215,0.0,0.008317971
0.35693738,0.016849902,1,10158080,3000.0,-0.075,0.016849902,4314,9143.44485449791,-3.1906352043151855,0.0,0.0046055675
0.42763603,0.027406588,0,10159104,3000.0,-0.075,0.027406588,4314,9144.312175750732,-2.9842536449432373,0.0,0.0046266075
0.4028428,0.015290819,0,10160128,3000.0,-0.075,0.015290819,4314,9145.17520737648,-1.6153361797332764,0.0,0.0038778626
0.39511836,0.038583912,1,10161152,3000.0,-0.05,0.038583912,4315,9146.01171875,-8.289673805236816,0.0,0.00624899
0.3691476,0.03347321,0,10162176,3000.0,-0.05,0.03347321,4315,9146.834574699402,-0.5710598230361938,0.0,0.008974904
0.40479827,0.057287686,0,10163200,3000.0,-0.05,0.057287686,4315,9147.735873699188,-0.8419234752655029,0.0,0.0076928404
0.39831248,0.009472178,1,10164224,3000.0,-0.05,0.009472178,4316,9148.605613708496,-1.877047061920166,0.0,0.004952226
0.38997936,0.023474943,0,10165248,3000.0,-0.05,0.023474943,4316,9149.497317552567,-2.201951026916504,0.0,0.004542368
0.4276856,0.04148301,1,10166272,3000.0,-0.075,0.04148301,4317,9150.344293117523,-0.7592477798461914,0.0,0.014965565
0.34559572,0.014240382,0,10167296,3000.0,-0.075,0.014240382,4317,9151.196537971497,0.2108604907989502,0.0,0.01441629
0.3789874,0.02437862,0,10168320,3000.0,-0.075,0.02437862,4317,9152.039151668549,0.19384539127349854,0.0,0.005825892
0.45222056,0.03161414,1,10169344,3000.0,-0.05,0.03161414,4318,9152.893054008484,0.049295902252197266,0.0,0.0056486595
0.37149787,0.019625053,0,10170368,3000.0,-0.05,0.019625053,4318,9153.777370214462,0.12705600261688232,0.0,0.0049880757
0.38537252,0.024594398,0,10171392,3000.0,-0.05,0.024594398,4318,9154.730500459671,0.16238361597061157,0.0,0.0101253595
0.35209107,0.02202267,1,10172416,3000.0,-0.075,0.02202267,4319,9155.627181529999,-1.0510423183441162,0.0,0.0072034663
0.43244675,0.019344069,0,10173440,3000.0,-0.075,0.019344069,4319,9156.48627114296,-0.028955578804016113,0.0,0.00509735
0.3834127,0.09911083,0,10174464,3000.0,-0.075,0.09911083,4319,9157.341579437256,-1.6992871761322021,0.0,0.006240207
0.39155558,0.011482649,1,10175488,3000.0,-0.075,0.011482649,4320,9158.166629076004,-1.9028775691986084,0.0,0.0063681905
